飞周兄弟 | 还袭击 | Racism | hate [END]
NULL | 被默默默默三通过 | others | hate [END]
NULL | 广c人说话 | others | non-hate [END]
王者荣耀 | 要做的速速 | non-hate | non-hate [END]
新疆人 | 被歧视 | others | hate [END]
NULL | 你自己做点坏事也扣你头上 | non-hate | non-hate [END]
黑人 | 不符合审美 | Racism | hate [END]
NULL | 他们没有智商 | others | hate [END]
我 | 在非洲前后待过12年 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
物种歧视 | 他不是种族歧视 | non-hate | non-hate [END]
NULL | 你说那话开为什么玩笑 | others | non-hate [END]
NULL | 中国14亿人总得有点奇葩 | others | non-hate [END]
NULL | 因为你在东北 | non-hate | non-hate [END]
NULL | 你是gay? | LGBTQ | hate [END]
黑种人 | 黄种人的体格 | Racism | hate [END]
NULL | 生产小孩不会对孩子好 | non-hate | non-hate [END]
拿刀的女人 | 比强壮的空手男人战斗力高 | Sexism | hate [END]
NULL | 矮姿患者 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 坚定的女拳🐶 | Sexism | hate [END]
NULL | 真爱 | LGBTQ | non-hate [END]
河南人 | 不太平 | non-hate | non-hate [END]
接盘侠 | 优秀的 | Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 变太 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
有过黑人男友的中国女性 | 传染给了中国丈夫和他们的孩子 | Racism, Sexism, others | hate [END]
东北演员 | 上海本地演员不行 | non-hate | non-hate [END]
NULL | 中国不是男人的中国 | others | hate [END]
NULL | 南美棉花小黑马 | others | non-hate [END]
NULL | 不打扰小仙女了 | others | non-hate [END]
理客 | 是这样 | non-hate | non-hate [END]
回族 | 回族在中文网络上名声不太好 | Region | hate [END]
黑人 | 占领整个世界时，就是地球从毁灭的边缘复活过来 | Racism | hate [END]
荷兰 | 聪明 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
黑龙江人 | 说他们的口音怎样怎样 | Region | hate [END]
大陆妇女 | 嫁给老黑还光荣的 | Racism, Sexism | hate [SEP] 老黑 | 刚从树上下来没几天 | Racism | hate [END]
北方在古代都南迁了 | NULL | others | non-hate [END]
NULL | 不把黑人画在择偶范围内 | others | non-hate [END]
江苏省 | 遇到过有歧视的 | Region | hate [SEP] 老辈人 | 搞歧视的 | others | hate [END]
你自己 | 把自己放在弱势群体一栏 | non-hate | non-hate [END]
NULL | 闲人 | non-hate | non-hate [END]
NULL | 学一口东北话去上海工作吧 | others | non-hate [END]
NULL | 找个黑人妹子做女朋友 | others | hate [END]
NULL | 泥革能算是人？？ | others | hate [END]
河南 | 学习好的人真的多 | non-hate | non-hate [END]
尼葛 | 能发这评论的，应该也只有尼葛吧 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
处女 | 改成必需 | Sexism | hate [END]
西安 | 你把西安放哪了😅 | non-hate | non-hate [END]
中国 | 找日本人韩国人 | non-hate | non-hate [END]
国内歧视这么严重，确实不应该冒险 | 不应该找南方矮矬子，外地土老帽 | Sexism | non-hate [END]
这种 | 你忍就忍呗 | non-hate | non-hate [END]
天津以北 | 就是冀东辽西了 | Region | non-hate [END]
华夏的土地 | 不要被墨污染 | Racism | hate [END]
群体 | 你攻击他们去啊 | non-hate | non-hate [END]
NULL | 混血 | others | non-hate [END]
黑人 | 越多反而排名下降了 | Racism | hate [END]
中国 | 将重返世界第一 | non-hate | non-hate [END]
NULL | 氘钕怕事情败露自己删了吧 | others | non-hate [END]
NULL | 占领中国全靠生 | Racism | hate [END]
NULL | 亲子鉴定是nv拳最大的敌人 | others | hate [END]
普通女性 | 占女性总人口的比例少 | Sexism | non-hate [END]
NULL | 精神茶党 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 不构成仇恨言论 | others | non-hate [END]
NULL | 女的很娇贵 | Sexism | hate [END]
NULL | 一看就是江苏 | Region | hate [END]
南方人 | 对东北人的歧视是根深蒂固的 | Region | hate [END]
NULL | 不是同一个默囧 | others | non-hate [END]
白皮猪 | 混了白皮猪的血 | Racism | hate [END]
干净与否 | 不是爱不爱的问题 | non-hate | non-hate [END]
东北人 | 默不作声 | non-hate | non-hate [END]
NULL | 幸亏当年放弃去飞州发展 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
北方人 | 被叫侉子 | Region | hate [END]
那黑人 | 为啥要来找人接盘 | Sexism, Racism | hate [END]
一群母狗 | 什么事做不出来 | Sexism | hate [END]
NULL | PUA | non-hate | non-hate [END]
四川的 | 骗过钱 | Region | hate [SEP] 四川的 | 抢了包 | Region | hate [END]
舔狗龟男 | 大多数十分固执，不愿醒悟，他们其实没有能力当我们的队友 | Sexism | hate [END]
法国 | 爱情观家庭观与国内有较大差异 | non-hate | non-hate [END]
你 | 多学点知识会发表有质量的观点再来知乎吧 | non-hate | non-hate [END]
河北 | 偷井盖 | non-hate | non-hate [END]
战士 | 不分性别的 | others | non-hate [END]
NULL | 清官断不了家务事 | non-hate | non-hate [END]
其他地方是地域黑 | 说实话也是黑 | Region | hate [END]
黑皮 | 口水仗政客 | Racism | hate [END]
NULL | 不受惩罚是吗？ | non-hate | non-hate [END]
大学里男生 | 果然变态很多呀 | Sexism | hate [END]
这货 | 删帖了 | non-hate | non-hate [END]
黑人 | 太黑了 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 人们都很亲切👍👍 | others | non-hate [END]
NULL | 大师 | others | non-hate [END]
NULL | 破防了 | others | non-hate [END]
NULL | 离赤道越近的人越黑 | others | hate [END]
黑人英雄 | 犯罪分子 | Racism | hate [END]
嫁黑男 | 请去它们国家 | Racism, Sexism | hate [END]
NULL | 伤害自己人 | LGBTQ | hate [END]
河南 | 我们井盖手艺都是炎黄传下来的 | Region | hate [END]
黑人 | 在犯罪领域比别人强 | Racism | hate [END]
NULL | 男厕所多于女厕所是违法滴 | others | hate [END]
黑女 | 一般都是乱性的 | Racism, Sexism, others | hate [END]
NULL | JATOO也是食神 | others | non-hate [END]
那个黑人 | 对中国很友好 | non-hate | non-hate [END]
黑人 | 早被我们反黑站了 | Racism | hate [END]
腐癌 | 磕CP的前提不是自己也得是同性恋 | LGBTQ | hate [END]
黑人 | 没见过黑人去选美的 | Racism | hate [END]
NULL | 一直没把老黑当老大 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 笑死 | non-hate | non-hate [END]
NULL | 没有慕刃 | others | non-hate [END]
NULL | 北欧是一群炼铜海盗 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
华莱士 | 被黑得很惨 | non-hate | non-hate [END]
NULL | 杰希是歪果仁 | others | hate [END]
上海 | 不排外的都是没去过上海或者没生活经验的 | Region | hate [END]
NULL | NULL | non-hate | non-hate [END]
郭楠 | 被开除人籍 | Sexism | hate [END]
舔狗 | 很恶毒的男淫 | Sexism | hate [END]
主页被冲了 | 谦虚调侃 | non-hate | non-hate [END]
你 | 是东北人ba | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
txl | 直接煽风点火孤立*** | LGBTQ | hate [END]
NULL | 错误观点 | Sexism | hate [END]
浙江人 | 挺好的 | non-hate | non-hate [END]
浏览 | 是没事的吧 | non-hate | non-hate [END]
东北人 | 任何坏事都扣到东北人头上 | Region | hate [END]
女人 | 产生了不需要个体男人的错觉 | Sexism | hate [END]
NULL | 领美刀 | others | non-hate [END]
江浙沪 | 我去过 | non-hate | non-hate [END]
NULL | 想演变态同性恋 | LGBTQ | non-hate [END]
NULL | 为了生育 | others | non-hate [END]
NULL | 强上的 | others | hate [END]
黑人 | 回非洲去 | Racism | hate [END]
警察叔叔 | 要小心艾滋 | others | hate [END]
贵州人 | 财务向我们骂了五分钟的贵州人 | Region | hate [END]
NULL | 2017年包括河南在内的9省份用全国一卷 | non-hate | non-hate [END]
复印件 | 谁信谁智商有问题 | non-hate | non-hate [END]
NULL | 这人还是个op | others | hate [END]
山西 | 存在感实在是低到没人黑 | Region | hate [END]
大多国女 | 被玩够了分手 | Sexism | hate [SEP] 国男 | 来接盘 | Sexism | hate [END]
崇洋媚外 | 是一种种族主义 | Racism | hate [END]
幕刃 | 把自己和女性割裂开 | Sexism | hate [END]
那个女主播 | 喜欢地域歧视 | Region, Sexism | hate [END]
穆加贝 | 这个恶魔有什么理由说我们 | others | hate [END]
自由社会 | 是所有无耻作为的遮羞布挡箭牌了 | non-hate | non-hate [END]
NULL | 强制纠正取向 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 性取向是个人的权利 | others | non-hate [END]
男人 | 家暴对男人没有任何好处 | non-hate | non-hate [END]
NULL | 去做有用的事吧 | others | non-hate [END]
NULL | 让她们胡闹 | others | hate [END]
NULL | 发到正宗大飞柱 | others | non-hate [END]
NULL | 女👊傻逼 | Sexism | hate [END]
NULL | 普信奇趣蛋 | others | non-hate [END]
黑龙江 | GDP确实比不过辽宁 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 几乎都是没有头发然后看不清五官 | others | non-hate [END]
中国 | 日子比日本混的好 | non-hate | non-hate [END]
NULL | 被冲了就不让发言了 | others | non-hate [END]
NULL | 河南人偷井盖 | non-hate | non-hate [END]
白人 | 里出美女的几率也太高了 | Racism | hate [END]
河南 | 这个资本家还不配让爷去 | Region | hate [END]
NULL | 收小唇手术或漂白水漂白肤色之类的产品上市 | non-hate | non-hate [END]
NULL | 有些蠢人活该被淘汰 | others | hate [END]
NULL | 不怪你 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 学着点吧 | others | non-hate [END]
NULL | 拒绝黑人就是真爱生命 | Racism | hate [END]
黑小子 | 满街乱窜 | Racism | hate [END]
NULL | 什么鬼屈臣氏想玩什么 | others | non-hate [END]
NULL | 去非洲🐶🐶 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
大龄剩女 | 千万不要找 | Sexism | hate [END]
广东 | 不算黑 | non-hate | non-hate [END]
这个 | 政治非常正确 | non-hate | non-hate [END]
温州 | 假皮鞋 | Region | hate [END]
基佬 | 社会贡献远不如一个长相不佳的直男工程师 | LGBTQ | hate [END]
NULL | 做这么多伤天害理的事难怪会成长为基佬 | LGBTQ | hate [END]
女人 | 自己除了子宫，还有什么用啊 | Sexism | hate [END]
txl | 组cp | LGBTQ | hate [END]
同性恋 | 希望同性恋能幸福 | LGBTQ | non-hate [END]
北边的人 | 不要找 | Region | hate [END]
知乎官方 | 用户包围 | non-hate | non-hate [END]
南方人 | 就低人一等了？ | Region | hate [END]
非洲 | 属于多妻 | Region | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
这贴 | 看的我鸡皮疙瘩起来了 | non-hate | non-hate [END]
NULL | 说东北贫 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
我家老人 | 只喜欢看本地台那些八卦消息 | non-hate | non-hate [END]
NULL | 讨厌河南人 | non-hate | non-hate [END]
NULL | 没有男的也买不起车 | others | non-hate [END]
NULL | 说你好我要一盘红烧鱼 | non-hate | non-hate [END]
外表可以。黑真是太丑 | 丑 | Racism | hate [END]
坑傻子 | 淘汰劣等基因 | non-hate | non-hate [END]
你拿什么来解决啊 | 他们带来的影响力可不能忽略了细节 | non-hate | non-hate [END]
NULL | 普信男 | non-hate | non-hate [END]
人家真的敢办事儿 | 裸体游行、终身不婚、单亲养子 | non-hate | non-hate [END]
东北人 | 已经差到不行了 | Region | hate [END]
NULL | 有些动物喜欢缠着人类 | non-hate | non-hate [END]
国女生的黑人孩子 | 不会同情 | Racism, Sexism | hate [SEP] 他们的母亲 | 一样不会同情 | Sexism | hate [END]
她 | 可以嫁给男艾滋病人嘛 | Sexism, others | hate [END]
NULL | 学校有黑人教英语 | others | hate [END]
广东本地人 | 说方言被骂有优越感 | non-hate | non-hate [END]
男人 | 在两性舆论阵地上一再失守 | Sexism | hate [SEP] 女人 | 已经实现了东食西宿 | Sexism | hate [END]
NULL | 反串 | others | hate [END]
非洲新冠检测 | 不相信非洲的任何统计数字 | non-hate | non-hate [END]
看到小红书这三个字儿 | NULL | others | non-hate [END]
找黑人处对象的 | 鸟毛不给，滚出户 | Racism | hate [END]
NULL | 接盘 | others | hate [END]
女权 | 极端受害者只会是女性 | Sexism | hate [END]
江苏人 | 发展猛 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
黑人 | 我最讨厌两种人，一种是种族歧视的人，一种是黑人 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 极端仇男癌 | others | hate [END]
NULL | 植物的命也是命，植命贵 | non-hate | non-hate [END]
这种死飞柱 | 不能滚去正宗大飞柱 | others | non-hate [END]
男生 | 抬杠的 | Sexism | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
新疆 | 3个省再加上黑河南、新疆、潮汕好家伙 | Region | hate [END]
我女儿 | 要找个黑人怎么办?就当没生过喽 | Racism, Sexism | hate [END]
NULL | 被枪毙的好友 | non-hate | non-hate [END]
它要是遵纪守法也就罢了 | 碰见惹事的我就算蹲进去我也得给他弄个半身不遂 | non-hate | non-hate [END]
蛆佬 | 智商高感染hiv后更高 | Racism | hate [END]
NULL | 宣传黑人节目 | others | non-hate [END]
NULL | 不能死 | others | hate [END]
NULL | 带着你的家人移民非洲吧！还有圣母的爱 | others | non-hate [END]
NULL | 河北没存在感 | Region | non-hate [END]
这主播 | 有点实力啊！ | non-hate | non-hate [END]
湖北 | 枪打九头鸟什么的 | Region | hate [END]
黑人 | 沐猩而冠 | Racism | hate [END]
人造子宫 | 赛高 | non-hate | non-hate [END]
女权师 | 疯狂成这个样子她们要刀谁？ | Sexism | hate [END]
他们找黑人媳妇 | 纯属是觉得不要彩礼还能干 | non-hate | non-hate [END]
它 | 这搁楼道里养很难有? | non-hate | non-hate [END]
NULL | 学会尊重这些群体 | LGBTQ | non-hate [END]
NULL | 女性出轨率已打80% | others | non-hate [END]
外国人 | 我肯定接受不了 | Region, Racism | hate [END]
NULL | 预言B站将是下一个豆瓣 | others | non-hate [END]
xa人 | 都死绝了才好 | Region | hate [END]
江西人 | 为了黑而生 | others | hate [END]
NULL | 我真是太放心了 | others | non-hate [END]
额们西安人 | 都似神 | Region | hate [END]
回族 | 都信教吗？ | others | non-hate [END]
四川 | 外送电 | non-hate | non-hate [END]
中国 | 借鉴韩国 | others | non-hate [END]
东北人 | 被黑的很惨 | non-hate | non-hate [END]
感觉造物主很奇妙。给予他们超强繁殖的本能 | 同时也给予了艾滋病这种克制的病毒 | non-hate | non-hate [END]
NULL | 希望赶紧移民 | others | hate [END]
学校 | 不是好东西 | others | hate [END]
兄弟 | 别急 | others | non-hate [END]
肌肉黑人 | 快手发展黑人祝福起家 | non-hate | non-hate [END]
东北人 | 表示赞同 | non-hate | non-hate [END]
浙南 | 不想被代表 | others | non-hate [END]
NULL | 不美黑 | others | non-hate [END]
男人 | 线上拉客 | non-hate | non-hate [END]
NULL | 别自我意识过剩了 | others | non-hate [END]
NULL | 反女权不要抗旧社会大旗 | others | hate [END]
黑河南的很多 | 不是一个量级的 | non-hate | non-hate [END]
老婆 | 不把老婆裱起来供着就算家暴 | Sexism | hate [END]
男同 | 生理排斥 | LGBTQ | hate [END]
NULL | 倒贴 | others | non-hate [END]
中国不存在种族歧视 | 不存在黑种人 | non-hate | non-hate [END]
四川人 | 感觉受到的歧视也不少 | non-hate | non-hate [END]
发达的城市 | 被外来打工的吐槽 | Region | hate [SEP] 不太发达的 | 好多都出去打工可能素质不太高 | Region | hate [END]
半斤八两 | 哪个重？ | non-hate | non-hate [END]
女生跑大城市的才多把 | 学区房一堆东西 | non-hate | non-hate [END]
肥猪幕刃 | 怎么从屠宰场跑出来了 | Sexism | hate [END]
这些渣滓确实到哪里都是渣滓 | 法不容情，绝不姑息 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 孙笑川的样子 | Sexism | hate [END]
同性恋 | 可以跟异性结婚生小孩 | LGBTQ | non-hate [END]
山东河南 | 还是主要的征兵地 | non-hate | non-hate [END]
NULL | 反同迫在眉睫 | others | hate [END]
这类心理障碍群体 | 连生存法则都得给它们让步 | others | hate [END]
东北人 | 互黑 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
黑人 | 犯罪率较高 | Racism | hate [END]
妇女报 | 是妇联名下的么？ | non-hate | non-hate [END]
NULL | 你们实在叠buff吗？ | others | non-hate [END]
NULL | 但nq觉得自己不能共情任何男性很棒 | others | non-hate [END]
月光男孩 | 看完回宿舍趴马桶上哇哇的吐 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
你 | 是信口开河 | non-hate | non-hate [END]
男的 | 是不是可以坦白自己的pc史 | Sexism | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
男同 | 杀同性恋 | LGBTQ | hate [END]
蝻蛆 | 不要臉太下頭 | Racism | hate [END]
NULL | 古代封建地主和官~员的嘴脸 | non-hate | non-hate [END]
国人同胞在非洲下了多少蛋 | 无具体指控 | others | non-hate [END]
哥们 | 勇敢反击 | non-hate | non-hate [END]
东北 | 按照普遍印象很好 | Region | non-hate [END]
牲口 | 都是这样的，做不了人事 | non-hate | non-hate [END]
苏北人 | 在网上对江西的态度跟仇敌一样 | Region | hate [END]
国家宣传口 | 风向都是在推进和黑人同婚 | Racism | hate [END]
NULL | 不婚不育的女权 | others | non-hate [END]
病人 | 预防某传染病 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
你是女生 | 怎么了？你就高级有特权呗？傻逼 | Sexism | hate [END]
奴隶姐 | 你又来啦？ | Sexism | hate [END]
蝴蝶鸡 | 死的好 | others | hate [END]
NULL | 但要实事求是，不能用演员和运动员比 | non-hate | non-hate [END]
NULL | 皇帝荒淫无耻 | non-hate | non-hate [END]
你家 | 有嫁内个还是咋的？ | non-hate | non-hate [END]
黑黄后代 | 把黑黄后代留在中国 | Racism | hate [END]
反变态吧 | 就是为了反变态的 | non-hate | non-hate [END]
老实人 | 不要冤枉 | non-hate | non-hate [END]
NULL | 别祸害别人了 | others | hate [END]
俩男的 | 争一个，当街打架扇嘴巴，当街舔，真恶心 | LGBTQ | hate [END]
NULL | 结婚纯累赘 | others | hate [END]
这个吧里到处发帖的不就是引战的流量佬吗，你给同什么实际利益了吗，没有的话你和那群你认为的贵物也没区别 | NULL | non-hate | non-hate [END]
NULL | 感觉你比我高级五个阶级 | others | non-hate [END]
NULL | 美国嘿人马丁路德金嫖娼考第一 | others | non-hate [END]
嘴上说女权但对男性崇拜不已的人 | 小傻瓜 | Sexism | hate [END]
舔狗 | 让他死就行了 | Sexism | hate [END]
我 | 个人从来没有过 | non-hate | non-hate [END]
地域黑 | 前汪伪区前国统区 | Region | hate [END]
毛爷爷 | 我们的兄弟 | others | non-hate [END]
江苏人 | 概率上讲 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
男人 | 只会和男拳战斗 | non-hate | non-hate [END]
一元购 | 真的是这帮东西的天性 | non-hate | non-hate [END]
我们国家 | 对于同性恋也是很保守 | LGBTQ | hate [END]
NULL | 解放了男性 | non-hate | non-hate [END]
NULL | 因为河南同学比他高了一百分 | others | non-hate [END]
她 | 别嫁给我们中国男人🐶 | Sexism | hate [END]
社交软件 | 这种太多了 看多了容易怀疑人生 | non-hate | non-hate [END]
NULL | 让他封号 | others | hate [END]
男权 | 反女权 | non-hate | non-hate [END]
女人 | 用女人取乐 | Sexism | hate [END]
东北人 | 你这样跟关里那帮有啥区别 | Region | hate [END]
NULL | 太棒了呀，不用被道德和素质绑架了 | non-hate | non-hate [END]
微博 | 的社会影响力也是这六个软件中最大的 | non-hate | non-hate [END]
女性 | 多数感性思维容易洗脑 | Sexism | hate [END]
直男 | 不会挑礼物 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
她 | 关爱了她一顿 | Sexism | hate [END]
背叛民族的人 | 精神包衣层出不穷 | non-hate | non-hate [END]
最好 | 都走 | non-hate | non-hate [END]
NULL | 除了东北上海河南其他地方真不叫黑 | others | non-hate [END]
东北人 | 拉着整个北方对抗南方 | non-hate | non-hate [END]
NULL | 给自己的歧的找借口掩饰 | non-hate | non-hate [END]
大众 | 缺乏个人实现的途径 | non-hate | non-hate [END]
NULL | 打成上海人 | others | hate [END]
北京天津 | 那么多南方要饭的看不见啊 | Region | hate [END]
黑人 | 所谓的聪明的人比例太少了 | Racism | hate [END]
广西 | 无足轻重 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
女 | 接受度更高 | LGBTQ | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 高贵的中国人 | others | non-hate [END]
辽宁人 | 不应该替某省背黑锅 | Region | non-hate [END]
她 | 没说错 | non-hate | non-hate [END]
NULL | 流量老贼 | others | hate [END]
NULL | 喷吧也是女权它们也只会喷了 | others | hate [END]
NULL | 装成女人来骗那群龟男来舔啊 | Sexism | hate [END]
NULL | 被拐卖确实很感动 | others | non-hate [END]
血统论 | 的目的主要是为了给种族歧视创造合法性 | Racism | hate [END]
这样的假设 | 现实中并不存在或极端罕见 | non-hate | non-hate [END]
NULL | 默就是默 | non-hate | non-hate [END]
东北人 | 火药味十足的聊天氛围 | non-hate | non-hate [END]
NULL | 曲阜和孔子是好事吗？ | others | non-hate [END]
感觉黑人给ysl丢脸 | 给ysl丢脸 | Racism | hate [END]
非洲黑人 | 智商70，被学者归类为智障水平 | Racism | hate [SEP] 美国黑人混血儿 | 智商85 | Racism | hate [END]
NULL | 在这里性别是女就是错误 | others | hate [END]
直男 | 更胜一筹 | Sexism | hate [END]
NULL | 反同存在即合理 | others | hate [END]
NULL | 嫌办的寒颤女方 | non-hate | non-hate [END]
女拳 | 也不是仇女壮大出来的，而是平权放任出来的 | Sexism | hate [END]
我 | 这么纯洁可爱 | non-hate | non-hate [END]
NULL | 不是好人 | others | hate [END]
NULL | 南满 | Region | hate [END]
最早捕捉贩卖黑奴的是阿拉伯人 | 对于公的黑奴，都要骟了 | Racism | hate [END]
NULL | 女拳喜欢冒充男的说话吗 | Sexism | non-hate [END]
男性 | 出轨 | non-hate | non-hate [END]
女拳 | 为了获取利益，打起拳来可以无视性别 | Sexism | hate [END]
慕洋舔狗 | 站起来 | others | hate [END]
今时 | 不同往日 | non-hate | non-hate [END]
国内女拳 | 群嘲国男 | Sexism | hate [END]
NULL | 透明人 | others | non-hate [END]
茶壶嘴 | 破防了 | non-hate | non-hate [END]
NULL | 你举报要有用才怪了 | non-hate | non-hate [END]
NULL | 带孩子的女的不叫女孩，就叫女的 | others | non-hate [END]
贵州 | 也没话讲 | non-hate | non-hate [END]
留学生 | 花大价钱留 | others | hate [END]
其他大多数省 | 给我国拖后腿 | Region | hate [END]
NULL | 互喷不就是最好的抵制方法吗😆 | others | hate [END]
NULL | 不能带走孩（串）子（串）😆 | others | non-hate [END]
NULL | 桑嗨仁歧视外地人 | others | non-hate [END]
t们 | 团结 | LGBTQ | hate [END]
NULL | 从哪看出来他们是东北人 | Region | non-hate [END]
NULL | 习惯了喷 | non-hate | non-hate [END]
NULL | 带着孩子找了个印度同事 | others | non-hate [END]
NULL | 不能急 | others | non-hate [END]
血 | 血和屈辱你只能二选一 | others | hate [END]
NULL | 不带套 | others | non-hate [END]
默 | 我真的很讨厌 | Racism | hate [END]
NULL | 贬低中国女性 | Sexism | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
吴母沟 | 出去整个容改个名，然后再回来祸害国男 | Sexism | hate [END]
拳师 | 天生就是坏种 | Sexism | hate [END]
NULL | 小偷比武汉少 | others | hate [END]
NULL | 嫁去巴基斯坦 | others | non-hate [END]
男人 | 被打压男人让男人沦为舔狗更好为她们服务 | Sexism | hate [END]
山东 | 两性问题 | non-hate | non-hate [END]
河南的古汉人 | 才是最多的 | non-hate | non-hate [END]
NULL | 没有证据 | non-hate | non-hate [END]
NULL | 物化女性还得看女人 | Sexism | hate [END]
NULL | 拿刀真的有用 | others | non-hate [END]
NULL | 同性恋是病才要上药 | LGBTQ | hate [END]
NULL | 黑沙口 | others | hate [END]
NULL | 照片看起来很年轻 | non-hate | non-hate [END]
广西人 | 不喜欢东南亚人 | others | hate [END]
中国女性 | 东亚女权本就是一丘之貉 | Sexism | hate [END]
NULL | 聪明人比例少 | others | non-hate [END]
NULL | 有立体防御机制 | others | non-hate [END]
长得丑就活该被变态骚扰 | 变态骚扰 | Sexism | hate [END]
NULL | 不要贪恋美色 | non-hate | non-hate [END]
小黑 | 那些跟小黑交往的女生是我们985的？ | Racism | hate [END]
抠脚大汉 | 别装了 | non-hate | non-hate [END]
含有种族歧视的崇洋媚外 | 让人唾弃 | Racism, others | hate [END]
安徽人 | 瞧不起 | non-hate | non-hate [END]
NULL | 两头开枪 | others | hate [END]
苏北人 | 歧视起其他省份一样厉害的 | Region | hate [END]
NULL | 洋垃圾不要我凭什么要 | non-hate | non-hate [END]
男人 | 不适宜的就忍受呗 | non-hate | non-hate [END]
黑龙江人 | 关系特别好的 | non-hate | non-hate [END]
