飞周兄弟 | 还不认亲？ | Racism | hate [END]
同性恋和异性恋 | 都是真爱 | non-hate | non-hate [END]
河南人 | 他就是不太平。到处扰事儿 | Region | hate [END]
NULL | 一位优秀的接盘侠👍👍 | non-hate | non-hate [END]
你们 | 建议...都去s | non-hate | non-hate [END]
这个基佬 | 从小...就N待小动物，果然是变太 | LGBTQ | hate [END]
NULL | 以下是网址 | non-hate | non-hate [END]
咱们国人 | 在非洲也没少玩黑女 | Racism | non-hate [SEP] 这些中国女孩 | 追求爱情也好追求感官刺激也罢，客观上都安慰了黑人 | non-hate | non-hate [SEP] 有过黑人男友的中国女性 | 传染给了中国丈夫和他们的孩子 | Racism | hate [END]
上海本地那男的 | 真心不行 | Region | hate [SEP] 曹可凡这个上海土著 | 在背后搞事挤兑走了 | Region | non-hate [END]
你 | 谁呀？ | non-hate | non-hate [END]
NULL | 南美棉花小黑马 | Racism | hate [END]
小仙女 | 外娶多好，不打扰...了 | Sexism | hate [END]
理客中 | 是这样的 | non-hate | non-hate [END]
回族 | 在中文网络上名声不太好 | others | non-hate [END]
黑人 | 占领整个世界时，就是地球从毁灭的边缘复活过来 | Racism | hate [END]
荷兰老哥们 | 属实聪明 | Region | non-hate [SEP] 东北人 | 懒 | Region | hate [SEP] 东北人 | 喜欢骂人吹币 | Region | hate [END]
你 | 搁这发鬼图呢？ | non-hate | non-hate [END]
黑龙江人 | 还歧视辽宁吉林人 | Region | hate [END]
大陆妇女 | 全世界觉得嫁给老黑还光荣的也就 | Sexism | hate [SEP] 老黑 | 是什么品种，刚从树上下来没几天 | Racism | hate [END]
北方 | 在古代都南迁了 | non-hate | non-hate [END]
黑人 | 不把...画在择偶范围内😅 | non-hate | non-hate [END]
出租车司机 | 坑人的，小气的 | others | non-hate [SEP] 江苏省 | 有歧视的，确实有，瞧不起北方和江北的 | Region | non-hate [END]
你自己 | 都把自己放在弱势群体一栏… | non-hate | non-hate [END]
他们 | 就是一群闲人，长舌妇一般喜欢指手画脚别人的人生 | non-hate | non-hate [END]
NULL | 学一口东北话去上海工作吧 | non-hate | non-hate [END]
你 | 为啥不找个黑人妹子做女朋友？ | Racism | non-hate [END]
泥革 | 能算是人？？ | Racism | hate [END]
河南小姑娘 | 极度自律 | Region | non-hate [END]
能发这评论的 | 应该也只有尼葛吧 | Racism | hate [END]
你 | 白天接完富婆，晚上还要给中年男老板解闷 | non-hate | non-hate [END]
处女 | 把...改成必需 | Sexism | hate [END]
西安 | 你把...放哪了😅 | Region | non-hate [END]
你中国人 | 不找，找个日本人韩国人，我也是膈应的 | Racism | hate [END]
南方矮矬子 | 老人们教诲不要找 | Region | hate [SEP] 外地土老帽 | 老人们教诲不要找 | Region | hate [END]
这种 | 你能忍就忍呗 | non-hate | non-hate [END]
天津以北 | 就是冀东辽西了 | Region | non-hate [END]
她们 | 只希望...去别的国家，不要在中国 | Racism | hate [SEP] 华夏的土地 | 不能被墨污染 | Racism | hate [END]
你 | 攻击他们去啊 | non-hate | non-hate [END]
你 | 这放在春秋战国时期也算是混血了 | non-hate | non-hate [END]
黑人 | 越多反而排名下降了 | non-hate | non-hate [END]
中国 | 将重返世界第一得地位 | non-hate | non-hate [END]
氙钕 | 怕事情败露自己删了吧 | Sexism | hate [END]
黑人 | 开场就一个...，占领中国全靠生 | Racism | hate [END]
nv拳最大的敌人 | 是亲子鉴定，是基因技术 | Sexism | non-hate [END]
女拳、媚外的 | 占了绝大多数🤣 | Sexism | hate [END]
大胸妹 | 她是个精神茶党 | non-hate | non-hate [END]
猩猩之间的交配 | 有什么稀奇的 | Racism | hate [END]
白人 | 你为什么要管...的感受呢 | non-hate | non-hate [END]
女的 | 很娇贵 | Sexism | non-hate [END]
你 | 一看就是江苏的 | Region | non-hate [END]
南方人 | 对东北人的歧视是根深蒂固的 | Region | hate [END]
视频里 | 还不是同一个默囧 | Racism | hate [END]
白皮猪 | 混了...的血 | Racism | hate [END]
NULL | 不是爱不爱的问题是干净与否的问题 | non-hate | non-hate [END]
东北人 | 默不作声 | non-hate | non-hate [END]
黑蛆 | 了解...事关生死！ | Racism | hate [END]
外国男 | 比郭楠好 | Sexism | hate [SEP] 墨人 | 有劲还带艾滋 | Racism | hate [END]
北方人 | 被南方人叫侉子 | Region | hate [END]
那黑人 | 为啥要来找人接盘，这不是恶心人吗 | Racism | hate [END]
一群母狗 | 什么事做不出来 | Sexism | hate [END]
你 | PUA呗，贬低...说...一文不值达到从精神上控制...的作用 | non-hate | non-hate [END]
四川的 | 我爸在广州被...骗过钱 | Region | non-hate [SEP] 四川的 | 在深圳我妈要生我时，我爸抱着我妈去医院，在路上被...抢了包😅 | Region | non-hate [END]
舔狗龟男 | 他们其实没有能力当我们的队友 | Sexism | hate [END]
涉外婚姻 | 还是要多想一想 | non-hate | non-hate [END]
知乎 | 不是你表达个人喜好的平台 | non-hate | non-hate [END]
河北 | 偷井盖是事实 不叫黑昂 | Region | hate [END]
战士 | 是不分性别的 | non-hate | non-hate [END]
黑人 | 是外人 | Racism | non-hate [END]
上海 | 这个只是说了实话怎么能算黑 | Region | non-hate [END]
嘴炮政客 | 需要那么多...？还是黑皮 | Racism | hate [END]
女性 | 不受惩罚是吗？ | Sexism | non-hate [END]
大学里男生 | 果然变态很多呀，还偷拍别人 | Sexism | hate [END]
这货 | 删帖了 | non-hate | non-hate [END]
黑人 | 太黑了，大家不太喜欢 | Racism | non-hate [END]
默 | 我可能给你输出racial discrimination观念 | others | hate [END]
唐山 | 人们都很亲切👍👍 | Region | non-hate [END]
金庸 | 我愿称...为大师[哈哈] | non-hate | non-hate [END]
仙女营销号 | 这么快就破防了 | Sexism | non-hate [END]
人 | 离赤道越近的...越黑 | non-hate | non-hate [END]
黑人英雄 | 都是犯罪分子 | Racism | hate [END]
嫁黑男 | 请去它们国家，别在又想在中国占着资源，还骂着我们国家的男性 | Racism | hate [END]
你 | 也是基佬 | LGBTQ | non-hate [END]
河南 | 黑...就觉得只是玩梗🙄 | Region | non-hate [END]
黑人 | 在哪个领域比别人强？嗯，犯罪领域。 | Racism | hate [END]
女厕所 | 要确保...数量多于男厕所 | Sexism | non-hate [END]
黑女 | 一般都是乱性的 | Racism | hate [END]
JATOO | 也是食神，，， | non-hate | non-hate [END]
与中国友好的黑人 | 哪怕不喜欢，我也可以忍受 | Racism | non-hate [END]
黑人吧 | 早被我们反黑站了 | Racism | non-hate [END]
腐癌 | 磕CP的前提不是自己也得是同性恋 | LGBTQ | hate [END]
黑人 | 没见过...去选美的 | Racism | hate [END]
老黑 | 他有什么值得我当老大？ | Racism | non-hate [END]
一个无耻透顶的女人 | 楼上真是 | Sexism | hate [END]
NULL | 隐藏在后面的是乱性艾滋病 | others | non-hate [END]
你们地域黑 | 这波贼喊捉贼有意思 | non-hate | non-hate [END]
贴吧的审核 | 要是没有慕刃，我把手机吃下去 | Sexism | hate [END]
北欧 | 是一群炼铜海盗哦 | others | non-hate [END]
NULL | 说重点，艾滋病，要你命 | others | non-hate [END]
华莱士 | 也被黑得很惨 | non-hate | non-hate [END]
杰希 | 一听就是歪果仁 | non-hate | non-hate [END]
上海 | 说...不排外的都是没去过上海或者没生活经验的 | Region | non-hate [END]
你 | 从十年前开始，...就应该天天刷这答案。 | non-hate | non-hate [END]
普信男 | 国女又看不上 | Sexism | hate [SEP] 郭楠 | 在部分国女眼里早就被开除人籍了 | Sexism | hate [END]
舔狗 | 都是很恶毒的男淫 | Sexism | hate [END]
男生180以下 | 就是残疾 | Sexism | hate [END]
你 | 是东北人ba | Region | non-hate [END]
你 | 希望...被女的传染 | non-hate | non-hate [END]
这样的txl | 我要是遇见...直接煽风点火孤立*** | LGBTQ | hate [END]
楼主 | 在某种程度上，也被女权洗脑 | Sexism | non-hate [END]
浙江人 | 挺好的啊，为啥要被黑 | Region | non-hate [END]
NULL | 浏览是没事的吧 | non-hate | non-hate [END]
东北人 | 任何坏事，都扣到...头上 | Region | non-hate [END]
动保环保女权这类东西的发展 | 必须建立在一个稳定/处于上升期的社会 | non-hate | non-hate [END]
NULL | 十有八九是领美刀的。 | non-hate | non-hate [END]
江浙沪 | 我去过，没碰到这些人 | non-hate | non-hate [END]
他 | 想演变态同性恋，他是反同态度吗？ | LGBTQ | non-hate [END]
你 | 还不是觉得两个人在一起是为了生育嘛 | non-hate | non-hate [END]
嘿畜狌 | 繁殖，都是强上的。 | Racism | hate [END]
这黑人 | 应该回非洲去 | Racism | hate [END]
警察叔叔 | 要小心艾滋 | others | non-hate [END]
贵州人 | 一个子公司的财务向我们骂了五分钟的 | Region | non-hate [END]
河南 | 文科一本分数线比7省低 | Region | non-hate [END]
你们txl | 复印还得是...厉害 | LGBTQ | hate [END]
这人 | 还是个op | non-hate | non-hate [END]
山西 | 存在感实在是低到没人黑 | Region | non-hate [END]
国男 | 女的隐瞒自己的事让...来接盘 | Sexism | hate [END]
崇洋媚外 | 本身就是一种种族主义 | Racism | non-hate [END]
幕刃 | 应该把他自己和女性割裂开 | Sexism | hate [END]
那个节目 | 报道辽宁本省的负面新闻稍多一点 | Region | non-hate [END]
穆加贝这个恶魔 | 有什么理由说我们 | non-hate | non-hate [END]
自由社会 | 真是所有无耻作为的遮羞布挡箭牌了😓 | non-hate | non-hate [END]
直佬们 | 做好被强制纠正取向的准备 | LGBTQ | hate [END]
NULL | 天机预言，后世潳嘿 | Racism | hate [END]
性取向 | 是个人的权利 | non-hate | non-hate [END]
男人 | 家暴对...没有任何好处 | Sexism | non-hate [END]
你 | 扣那多字来反同有用吗 | non-hate | non-hate [END]
她们 | 故意让...胡闹，看看...生下丑陋的哥布林。😎 | Racism | hate [END]
NULL | 应该发到正宗大飞柱吧 | others | non-hate [END]
正常女的 | 也会恶心女👊的 | Sexism | non-hate [END]
普信奇趣蛋 | 也就能想想了 | Sexism | hate [END]
黑龙江 | GDP确实比不过辽宁 | Region | non-hate [END]
我 | 讨厌一个事情还得事先说服自己让自己不讨厌？？？ | non-hate | non-hate [END]
黑人 | 几乎都是没有头发然后看不清五官🤣 | Racism | non-hate [END]
中国 | GDP超过日本了，也没见...日子比日本混的好 | non-hate | non-hate [END]
喷吧 | 被冲了就不让发言了 | non-hate | non-hate [END]
我 | 啥时候说河南人偷井盖被歧视？ | non-hate | non-hate [END]
白人 | 里出美女的几率也太高了 | Racism | non-hate [END]
河南 | 这个资本家还不配让爷去🙂 | Region | non-hate [END]
女人 | 生意真的好做 | Sexism | non-hate [END]
有些蠢人 | 活该被淘汰 | non-hate | non-hate [END]
你 | 没接触黑人群体，不怪你 | non-hate | non-hate [END]
贵州 | 怎么了，不太了解？ | Region | non-hate [END]
国男 | 有些...多学着点吧😄 | non-hate | non-hate [END]
拒绝黑人 | 就是真爱生命 | Racism | hate [END]
黑小子，混血二代 | 会成为公害 | Racism | hate [END]
屈臣氏 | 这是什么鬼...想玩什么 | non-hate | non-hate [END]
这个女人 | 送去非洲🐶🐶 | Sexism | hate [END]
排外的 | 无论是哪里人都是社会底层 | non-hate | non-hate [END]
大龄剩女 | 千万不要找大龄，尤其是从大城市回来的 | Sexism | hate [END]
广东那个 | 应该不算黑？ | Region | non-hate [END]
这个 | 政治非常正确 | non-hate | non-hate [END]
温州 | 假皮鞋 | Region | non-hate [END]
基佬 | 对社会的贡献远不如一个长相不佳的直男工程师 | LGBTQ | hate [END]
NULL | 做这么多伤天害理的事难怪会成长为基佬！ | LGBTQ | hate [END]
女人 | 除了子宫，还有什么用啊 | Sexism | hate [END]
txl | 喜欢乱组cp | LGBTQ | hate [END]
同性恋 | 希望...能幸福 | non-hate | non-hate [END]
北边的人 | 她妈妈就告诉她不要找 | Region | non-hate [END]
知乎官方 | 本来就偏向女拳立场 | Sexism | non-hate [END]
南方人 | 什么时候看见...不敢揍了 | Region | non-hate [END]
你 | 知乎不能骂人，不然真想骂醒 | non-hate | non-hate [END]
你 | 果然是想沦为生育工具吧？ | Sexism | hate [END]
这贴 | 看的...我鸡皮疙瘩起来了 | non-hate | non-hate [END]
贵州人 | 说东北贫（穷的意思） | Region | non-hate [END]
NULL | 你说得对，上去 | non-hate | non-hate [END]
我家老人 | 只喜欢看本地台那些八卦消息 | non-hate | non-hate [END]
我 | 也讨厌……河南有些人 | Region | non-hate [END]
这个母🐶 | 没了男的也买不起车啊有个批没了男的也没地方卖啊 | Sexism | hate [END]
女服务员 | 冲着电话大骂然后挂了 | non-hate | non-hate [END]
黑 | 真是太丑 | Racism | non-hate [END]
这种龟男 | 不给他戴绿帽都对不起他的智商 | Sexism | hate [END]
那些精英 | 巴不得绑架全世界 | non-hate | non-hate [END]
幕刃 | 真有意思 | Sexism | hate [END]
国内的女拳 | 拿啥跟她们比？ | Sexism | non-hate [END]
东北人 | 在青岛的口碑已经差到不行了 | Region | non-hate [END]
小狒狒 | 有些动物喜欢缠着人类...也不例外 | Racism | hate [END]
国女生的黑人孩子 | 我从来不会同情 | Racism, Sexism | hate [SEP] 他们的母亲 | 一样不会同情 | Sexism | hate [END]
她 | 可以嫁给男艾滋病人嘛 | others | hate [END]
黑人外教 | 在孩子心理上灌输了什么思想，崇洋媚外，低人一等 | Racism | hate [END]
广东本地人 | 说方言被骂有优越感的表示不想说话🙂 | Region | non-hate [END]
男人 | 在两性舆论阵地上一再失守 | Sexism | non-hate [END]
你 | 不就是个山东人吗 在那反串啥啊😓 | non-hate | non-hate [END]
非洲 | 我已经不相信...的任何统计数字 | non-hate | non-hate [END]
NULL | 看到小红书这三个字儿 | non-hate | non-hate [END]
找黑人处对象的 | 鸟毛不给，滚出户 | Racism | hate [END]
你们 | 活该，谁叫...接盘的 | non-hate | non-hate [END]
女权 | 发展到极端受害者只会是女性 | Sexism | non-hate [END]
江苏浙江 | 好像存在感也没那么强 | Region | non-hate [END]
外国语啥的 | 确实要小心 | non-hate | non-hate [END]
我 | 最讨厌两种人，一种是种族歧视的人，一种是黑人🥺🥺🥺 | Racism | hate [END]
智力不足的人 | 在讨论严肃的问题时使用该词会造成歧义 | non-hate | non-hate [END]
极端仇男癌成员 | 希望家人们留意！ | Sexism | hate [END]
素食主义者 | 全部变成绝食主义者 | non-hate | non-hate [END]
这种死飞柱 | 能不能滚去正宗大飞柱吧 | others | hate [END]
知乎这话题底下大部分 | 都是和男生抬杠的，装理中客的 | non-hate | non-hate [END]
你 | 其实...说得挺好的，哈哈 | non-hate | non-hate [END]
b站 | 女拳集中营啊 | Sexism | hate [END]
地域黑 | 是不想祖国960万平方公里完整是吧😓 | Region | non-hate [END]
我女儿 | 要找个黑人怎么办?就当没生过喽 | Racism | hate [END]
NULL | 好友犯罪后被枪毙，尸体被卖给了医学院 | non-hate | non-hate [END]
它 | 我就算蹲进去我也得给他弄个半身不遂 | non-hate | non-hate [END]
蛆佬 | 智商都高感染hiv后更高 | LGBTQ | hate [END]
cctv3 | 每天都有宣传黑人的节目 | Racism | non-hate [END]
倪哥 | 能不能死? | Racism | hate [END]
你 | 带着...的家人移民非洲吧！ | non-hate | non-hate [END]
河北 | 没存在感 | Region | non-hate [END]
这主播 | 有点实力啊！ | non-hate | non-hate [END]
湖北 | 微博好多人骂枪打九头鸟什么的 | Region | non-hate [END]
黑人 | 沐猩而冠 | Racism | hate [END]
人造子宫 | 赛高 | non-hate | non-hate [END]
女权师 | 疯狂成这个样子她们要刀谁？ | Sexism | non-hate [END]
他们 | 找黑人媳妇纯属是觉得不要彩礼还能干 | Sexism | hate [SEP] 女性 | 是奔着感情去的，大傻子😑 | Sexism | hate [END]
它 | 这搁楼道里养很难有? | non-hate | non-hate [END]
这些群体 | 应该让他们学会尊重 | LGBTQ | non-hate [END]
女性 | 出轨率已打80% | Sexism | non-hate [END]
外国人 | 只要是...，我肯定接受不了😆 | non-hate | non-hate [END]
b站 | 将是下一个豆瓣 | non-hate | non-hate [END]
xa人 | 都死绝了才好 | Region | hate [END]
江西人 | 是为了黑而生😅 | Region | hate [END]
本吧吧宠 | 真是能够带给我们无限乐趣 | LGBTQ | hate [SEP] 跪虫族 | 都是这种水平 | LGBTQ | hate [END]
额们西安人 | 都似神！！！！！ | Region | non-hate [SEP] 给你个瓜怂家 | 房子都偷走 | Region | non-hate [END]
回族 | 都信教吗？ | non-hate | non-hate [END]
你 | 真想把高压电线拉...身上给你醒醒脑花傻呗tui | non-hate | non-hate [END]
我国 | 希望...能借鉴韩国 | non-hate | non-hate [END]
张口就黑某省的 | 是美国的ip | Region | non-hate [END]
他们 | 给予...超强繁殖的本能的同时，也给予了艾滋病这种克制的病毒 | Racism | hate [END]
她们 | 如果...倒贴嫁出去，那希望赶紧移民 | non-hate | non-hate [END]
学校和黑狗 | 都不是好东西 | Racism | hate [END]
NULL | 好兄弟，别急呀 | non-hate | non-hate [END]
当地黑社会 | 一霸 | non-hate | non-hate [END]
东北人 | 表示赞同?? | non-hate | non-hate [END]
浙南 | 不想被代表 | Region | non-hate [END]
许多媚黑 | 只是排黑目光的产物 | Racism | non-hate [END]
她们 | 现在...都开始线上拉客了 | others | non-hate [END]
别人 | 看你也一样hui气 | non-hate | non-hate [END]
我 | 说了三从四德是糟粕，反女权不要抗旧社会大旗，立马骂...并禁言了 | non-hate | non-hate [END]
黑河南的 | 很多 | Region | non-hate [END]
老婆 | 以后不把...裱起来供着就算家暴 | Sexism | non-hate [END]
我 | 生理排斥男同 | LGBTQ | non-hate [END]
媚黑女 | 倒贴😆 | Racism | hate [END]
中国 | 不存在种族歧视 | non-hate | non-hate [END]
四川人 | 感觉受到的歧视也不少 | Region | non-hate [END]
这种地方 | 要么就是发达的城市，被外来打工的吐槽，要么就是不太发达的好多都出去打工可能素质不太高 | Region | non-hate [END]
NULL | 半斤八两哪个重？ | non-hate | non-hate [END]
女生 | 靠比入住就行了 | Sexism | hate [END]
这肥猪幕刃 | 怎么从屠宰场跑出来了 | Sexism | hate [END]
这些渣滓 | 确实到哪里都是渣滓 | non-hate | non-hate [END]
三省内部 | 也有歧视 | Region | non-hate [END]
孙笑川的样子 | 女生只会报警 | non-hate | non-hate [END]
同性恋 | 也可以跟异性结婚生小孩的没啥的 | LGBTQ | non-hate [END]
山东河南 | 还是主要的征兵地 | Region | non-hate [END]
NULL | 反同迫在眉睫 | LGBTQ | hate [END]
这些人 | 不仅是颠覆了异性相吸同性相斥的自然法则，也打破了人改变不了现实，只能去改变自己的生存法则 | non-hate | non-hate [END]
南方人 | 是互黑 | Region | non-hate [SEP] 东北人 | 是共黑 | Region | non-hate [END]
系统 | 反正...也会删 | non-hate | non-hate [END]
黑人 | 本来犯罪率就较高 | Racism | non-hate [END]
妇女报 | 是妇联名下的么？ | non-hate | non-hate [END]
你们 | 实在叠buff吗🤣 | non-hate | non-hate [END]
nq | 觉得自己不能共情任何男性很棒 | Sexism | hate [END]
我 | 作为一个直男的，生理上的排斥，真的恶心 | LGBTQ | non-hate [END]
华东理工大学毕业的人 | 不要交往，不要说话，不要做生意 | others | hate [SEP] 用人单位 | 不要聘请有华东理工大学背景的人 | others | hate [END]
你 | 果然...是信口开河 | non-hate | non-hate [END]
男的 | 是不是可以坦白自己的pc史 | Sexism | non-hate [END]
我父母 | 还没这样 | non-hate | non-hate [END]
一个男同 | 专门杀同性恋的 | LGBTQ | hate [END]
蝻蛆 | 少管女人的閒事好嘛真不要臉太下頭 | Sexism | hate [END]
古代封建地主和官~员的嘴脸 | 比外国人还要丑陋… | non-hate | non-hate [END]
宁的国人同胞 | 在非洲下了多少蛋 | Sexism | non-hate [END]
哥们 | 勇敢反击被挂 | non-hate | non-hate [END]
一部分群体 | 莫名的有种害怕？ | non-hate | non-hate [END]
牲口 | 都是这样的，做不了人事 | non-hate | non-hate [END]
有些苏北人 | 在网上对江西的态度跟仇敌一样 | Region | non-hate [END]
国家宣传口的风向 | 都是在推进和黑人同婚 | Racism | non-hate [END]
不婚不育的女权 | 出来吱一声？ | Sexism | non-hate [END]
恶性传染病 | 防止...人人有责 | others | non-hate [END]
百度 | 是想基佬越来越少 | LGBTQ | non-hate [END]
NULL | 艾呀，梅什么，湿不了[蹲] | others | non-hate [END]
你 | 是女生怎么了？你就高级有特权呗？傻逼 | Sexism | hate [END]
奴隶姐 | 你又来啦？ | non-hate | non-hate [END]
蝴蝶鸡 | 死的好 | non-hate | non-hate [END]
运动员 | 老得快，对皮肤保养这些不太在乎 | non-hate | non-hate [END]
撑同的 | 全是辣鸡臭味相投! | LGBTQ | hate [END]
你家 | 有嫁内个还是咋的？ | non-hate | non-hate [END]
黑黄后代 | 我抨击她们把...留在中国！！！！ | Racism | hate [END]
反变态吧 | 就是为了反变态的 | non-hate | non-hate [END]
老实人 | 不要冤枉 | non-hate | non-hate [END]
你 | 在劳教所里就别祸害别人了 | non-hate | non-hate [END]
俩男的 | 争一个，当街打架扇嘴巴，当街舔，真恶心 | LGBTQ | hate [END]
结婚 | 纯累赘 | non-hate | non-hate [END]
引战的流量佬 | 你和那群你认为的贵物也没区别 | non-hate | non-hate [END]
我 | 是河北人😆 | non-hate | non-hate [END]
美国嘿人马丁路德金 | 嫖娼考第一 | Racism | hate [END]
这种小傻瓜 | 当然是喜欢...啦 | Sexism | non-hate [END]
舔狗 | 让他死就行了 | Sexism | hate [END]
我个人 | 从来没有过 | non-hate | non-hate [END]
地域黑 | 主要是前汪伪区前国统区的 | Region | non-hate [END]
第三世界的国家 | 才是我们的兄弟 | non-hate | non-hate [END]
这个人 | 大概率是江苏人 | Region | non-hate [END]
这种女人 | 挺不能理解 | Sexism | non-hate [END]
男拳 | 男人只会和...战斗 | Sexism | non-hate [END]
这帮东西 | 一元购真是...的天性 | Racism | hate [END]
异性歧视同 | 也是不对的 | LGBTQ | non-hate [SEP] 支持同性 | 也是不对的 | LGBTQ | non-hate [END]
女拳组织 | 感谢...的出现，解放了男性 | Sexism | non-hate [END]
河南同学 | 比他高了一百分🤣🤣🤣 | non-hate | non-hate [END]
她 | 只要...别嫁给我们中国男人🐶 | Sexism | non-hate [END]
社交软件 | 这种太多了 | non-hate | non-hate [END]
他 | 我们联合起来把...列入黑名单什么的，让...封号 | non-hate | non-hate [END]
男理中客舔狗龟男 | 一抓一大把 | Sexism | non-hate [END]
男人 | 用女人取乐时，女人反而崇拜男人 | Sexism | non-hate [END]
你 | 怎么又是东北人，...这样跟关里那帮有啥区别 | Region | non-hate [END]
我 | 恶心同就不用避讳了，舒服 | LGBTQ | non-hate [END]
豆瓣小红书 | 你是看不到？ | non-hate | non-hate [END]
女性 | 多数感性思维容易洗脑 | Sexism | non-hate [END]
直男 | 不会挑礼物不是很正常 | Sexism | non-hate [END]
他 | 枪毙...，他是中华民族的罪人！！！ | non-hate | non-hate [END]
她 | 关爱了...一顿 | non-hate | non-hate [END]
背叛自己民族人 | 和平年代汉奸就这么多 | non-hate | non-hate [END]
NULL | 最好都走，我是这么想的 | non-hate | non-hate [END]
东北上海河南 | 除了...其他地方真不叫黑 | Region | non-hate [END]
说河南人偷井盖的 | 明明是北京人 | Region | non-hate [SEP] 东北人 | 就会舔北京，然后拉着整个北方对抗南方 | Region | non-hate [END]
有的直男 | 即便没有接触过任何男同，也仍然反同…… | LGBTQ | non-hate [END]
社会 | 在固化 | non-hate | non-hate [END]
你 | 马上要被打成上海人了 | Region | non-hate [END]
南方要饭的 | 北京天津那么多...看不见啊 | Region | hate [END]
黑人里面所谓的聪明的人 | 的比例太少了 | Racism | non-hate [END]
广西 | 没那么重要，不会成为攻击重点 | Region | non-hate [END]
反同战士 | 人们正迫切地需要着...的登场 | LGBTQ | non-hate [END]
